,ecosystemName,primaryTag,amount
252,toronto,ai,3186345507
279,toronto,fintech,2920250692
96,british columbia,saas,2695116195
66,british columbia,fintech,2654310409
353,waterloo region,marketplace,1845077160
312,toronto,saas,1661871999
269,toronto,cybersecurity,1400060550
51,british columbia,cleantech,1392216360
305,toronto,platform,1187397787
49,british columbia,biotech,1142405435
50,british columbia,blockchain,1136604125
18,alberta,fintech,1105992650
215,quebec,healthtech,1047807039
285,toronto,healthtech,1007446980
244,quebec,traveltech,750350000
193,quebec,biotech,743462518
261,toronto,biotech,718375092
203,quebec,edtech,631203176
195,quebec,cleantech,620841391
238,quebec,saas,592767757
183,ottawa,saas,592232679
189,quebec,ai,571427130
209,quebec,fintech,548106048
214,quebec,hardware,463228269
293,toronto,marketplace,443313239
274,toronto,edtech,442267538
361,waterloo region,saas,422651297
224,quebec,marketplace,416808436
339,waterloo region,edtech,405018280
72,british columbia,healthtech,394914985
306,toronto,propertytech,393667025
283,toronto,greentech,375656450
256,toronto,autotech,374049000
45,british columbia,ai,360237185
199,quebec,cybersecurity,357420520
284,toronto,hardware,352909739
8,alberta,cleantech,348431505
286,toronto,hrtech,324289050
329,waterloo region,ai,310915841
265,toronto,cleantech,301880558
202,quebec,ecommerce,301486375
44,british columbia,agtech,294580610
71,british columbia,hardware,292324000
291,toronto,logisticstech,286093750
36,alberta,saas,267289399
249,toronto,adtech,247832003
46,british columbia,analytics,217810950
273,toronto,ecommerce,214869015
237,quebec,robotics,208200000
37,alberta,software development,205267925
129,other,biotech,204180002
146,other,marketplace,204020991
35,alberta,robotics,202116789
82,british columbia,marketplace,193582755
190,quebec,analytics,192866668
122,east coast,saas,184350216
360,waterloo region,robotics,181110140
91,british columbia,propertytech,172370251
152,other,saas,165474031
60,british columbia,ecommerce,160775500
330,waterloo region,analytics,159135000
109,east coast,cleantech,155934800
83,british columbia,martech,147538800
316,toronto,software development,136009026
262,toronto,blockchain,124408856
162,ottawa,analytics,123780120
173,ottawa,fintech,119367443
213,quebec,greentech,112800000
253,toronto,analytics,105261925
188,quebec,agtech,103200000
4,alberta,analytics,100907019
130,other,cleantech,100000000
168,ottawa,cybersecurity,98877293
233,quebec,platform,98250852
56,british columbia,cybersecurity,90786833
194,quebec,blockchain,89500000
334,waterloo region,cybersecurity,86530300
48,british columbia,autotech,80378250
332,waterloo region,blockchain,75789346
23,alberta,healthtech,74438038
331,waterloo region,biotech,66696183
135,other,fintech,63189000
171,ottawa,ecommerce,58509750
133,other,ecommerce,57000000
90,british columbia,platform,55665000
126,other,agtech,52749500
139,other,healthtech,50748019
95,british columbia,robotics,49150000
234,quebec,propertytech,47061243
251,toronto,agtech,46122479
106,east coast,analytics,43245000
61,british columbia,edtech,41559656
115,east coast,healthtech,39695000
347,waterloo region,healthtech,39428523
345,waterloo region,hardware,37750000
225,quebec,martech,37456000
294,toronto,martech,37099278
182,ottawa,propertytech,33850000
240,quebec,software development,31250000
178,ottawa,martech,31000000
2,alberta,agtech,29306000
16,alberta,edtech,28500000
156,other,traveltech,28400000
165,ottawa,biotech,23992208
3,alberta,ai,23650000
177,ottawa,marketplace,23000000
351,waterloo region,logisticstech,22524375
24,alberta,hrtech,21750000
104,east coast,agtech,20920000
328,waterloo region,agtech,20827317
114,east coast,hardware,20300000
341,waterloo region,fintech,19349807
348,waterloo region,hrtech,19153926
187,quebec,adtech,17912360
73,british columbia,hrtech,17300000
110,east coast,cybersecurity,16984480
184,ottawa,software development,15966300
101,british columbia,traveltech,14000000
29,alberta,marketplace,13287600
321,toronto,traveltech,12293200
15,alberta,ecommerce,10725000
33,alberta,propertytech,10450000
362,waterloo region,software development,9800000
108,east coast,biotech,9129681
32,alberta,platform,8929400
105,east coast,ai,8000000
111,east coast,fintech,7916000
311,toronto,robotics,7788763
7,alberta,biotech,7429681
166,ottawa,cleantech,7120000
333,waterloo region,cleantech,6755000
127,other,ai,5790000
176,ottawa,logisticstech,5000000
116,east coast,hrtech,4964273
1,alberta,adtech,4810121
113,east coast,greentech,4000000
22,alberta,hardware,3900000
216,quebec,hrtech,3816298
119,east coast,marketplace,3780000
134,other,edtech,3000000
160,ottawa,agtech,3000000
128,other,analytics,2857272
138,other,hardware,2798263
222,quebec,logisticstech,2226792
175,ottawa,healthtech,2197052
159,ottawa,adtech,1915740
123,east coast,software development,1875000
151,other,robotics,1700000
41,british columbia,adtech,1535000
143,other,logisticstech,1375000
161,ottawa,ai,1329400
172,ottawa,edtech,1250000
12,alberta,cybersecurity,1000000
150,other,platform,770000
192,quebec,autotech,485000
338,waterloo region,ecommerce,450000
181,ottawa,platform,125000
80,british columbia,logisticstech,125000
326,waterloo region,adtech,120000
21,alberta,greentech,50000
364,waterloo region,traveltech,50000
354,waterloo region,martech,40650
99,british columbia,software development,0
39,alberta,traveltech,0
174,ottawa,hardware,0
