,year,ds_category,amount
0,2019,$100M+,1714722950
1,2019,$1M-$5M,359955620
2,2019,<$100K,1792785
3,2019,Other,2902491307
4,2020,$100M+,1167025000
5,2020,$1M-$5M,339050952
6,2020,<$100K,1099590
7,2020,Other,2847439294
8,2021,$100M+,8488407025
9,2021,$1M-$5M,483156590
10,2021,<$100K,1052465
11,2021,Other,5053437316
12,2022,$100M+,4860974200
13,2022,$1M-$5M,349999264
14,2022,<$100K,27
15,2022,Other,4538318950
16,2023,$100M+,2394442600
17,2023,$1M-$5M,189879364
18,2023,<$100K,0
19,2023,Other,3158424308
20,2024,$100M+,6273374250
21,2024,$1M-$5M,217820894
22,2024,<$100K,70
23,2024,Other,2590478062
