,headquarters,num_deals
0,alberta,13
1,anjou,1
2,barrie,4
3,bedford,2
4,british columbia,117
5,bromont,1
6,brossard,1
7,burlington,1
8,burnaby,12
9,calgary,194
10,california,3
11,campbell river,1
12,charlottetown,1
13,chicago,1
14,concord,1
15,connecticut,1
16,dartmouth,3
17,delta,4
18,dieppe,1
19,drummondville,1
20,dubai,1
21,edmonton,28
22,etobicoke,1
23,fredericton,5
24,fredricton,1
25,gatineau,1
26,greater sudbury,1
27,guelph,1
28,halifax,24
29,hamilton,13
30,hannon,1
31,kanata,4
32,kelowna,6
33,kingston,12
34,langley,1
35,laval,1
36,london,14
37,lévis,1
38,manitoba,5
39,markham,2
40,midland,1
41,mississauga,3
42,moncton,2
43,montreal,472
44,mount pearl park,1
45,nelson,1
46,new brunswick,20
47,new york,2
48,newfoundland,5
49,newmarket,1
50,niagara falls,1
51,north vancouver,1
52,nova scotia,18
53,oakville,1
54,oshawa,2
55,ottawa,91
56,palmerston,2
57,pei,1
58,peterborough,2
59,pitt meadows,1
60,quebec,52
61,regina,5
62,richmond,5
63,richmond hill,2
64,rossland,5
65,saint john,1
66,saint john's,1
67,saint-laurent,1
68,salmon arm,2
69,san francisco,8
70,saskatchewan,19
71,saskatoon,2
72,sherbrooke,1
73,sidney,1
74,st. catherines,2
75,st. john's,3
76,st. johns,2
77,st. john’s,2
78,st. laurent,1
79,sudbury,8
80,surrey,8
81,tavistock,1
82,thornhill,3
83,toronto,963
84,unknown,6
85,vancouver,315
86,vaughan,1
87,victoria,37
88,waterloo,158
89,waterloo region,14
90,windsor,1
91,winnipeg,4
92,woodbridge,1
